,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,unit,indic,s_adj,geo,Frequency,Unit of measure,Indicator,Seasonal adjustment,Geopolitical entity (reporting),nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2)
10,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1985-11,1985-11-01,-6.2,-6.2,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
11,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1985-12,1985-12-01,-5.8,-5.8,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
12,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1986-01,1986-01-01,-3.7,-3.7,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
13,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1986-02,1986-02-01,-2.5,-2.5,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
14,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1986-03,1986-03-01,-2.4,-2.4,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
15,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1986-04,1986-04-01,-1.5,-1.5,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
16,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1986-05,1986-05-01,-1.9,-1.9,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
17,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1986-06,1986-06-01,-0.5,-0.5,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
18,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1986-07,1986-07-01,-0.3,-0.3,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
19,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1986-08,1986-08-01,1.2,1.2,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
20,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1986-09,1986-09-01,0.6,0.6,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
21,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1986-10,1986-10-01,0.6,0.6,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
22,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1986-11,1986-11-01,0.1,0.1,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
23,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1986-12,1986-12-01,0.6,0.6,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
24,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1987-01,1987-01-01,0.2,0.2,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
25,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1987-02,1987-02-01,-2.4,-2.4,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
26,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1987-03,1987-03-01,-2.0,-2.0,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
27,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1987-04,1987-04-01,-2.3,-2.3,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
28,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1987-05,1987-05-01,-2.1,-2.1,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
29,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1987-06,1987-06-01,-3.0,-3.0,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
30,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1987-07,1987-07-01,-3.7,-3.7,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
31,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1987-08,1987-08-01,-5.2,-5.2,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
32,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1987-09,1987-09-01,-1.6,-1.6,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
33,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1987-10,1987-10-01,-2.8,-2.8,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
34,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1987-11,1987-11-01,-5.9,-5.9,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
35,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1987-12,1987-12-01,-6.9,-6.9,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
36,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1988-01,1988-01-01,-7.5,-7.5,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
37,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1988-02,1988-02-01,-7.5,-7.5,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
38,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1988-03,1988-03-01,-6.3,-6.3,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
39,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1988-04,1988-04-01,-5.3,-5.3,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
40,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1988-05,1988-05-01,-6.0,-6.0,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
41,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1988-06,1988-06-01,-5.7,-5.7,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
42,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1988-07,1988-07-01,-6.9,-6.9,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
43,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1988-08,1988-08-01,-5.0,-5.0,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
44,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1988-09,1988-09-01,-4.1,-4.1,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
45,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1988-10,1988-10-01,-2.3,-2.3,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
46,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1988-11,1988-11-01,-3.3,-3.3,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
47,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1988-12,1988-12-01,-2.8,-2.8,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
48,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1989-01,1989-01-01,-4.2,-4.2,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
49,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1989-02,1989-02-01,-4.5,-4.5,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
50,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1989-03,1989-03-01,-3.9,-3.9,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
51,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1989-04,1989-04-01,-3.2,-3.2,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
52,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1989-05,1989-05-01,-3.4,-3.4,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
53,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1989-06,1989-06-01,-1.0,-1.0,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
54,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1989-07,1989-07-01,-0.3,-0.3,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
55,monthly,Eurostat,ei_bsco_m,Consumers - monthly data,M.BAL.BS-CSMCI.NSA.DE,Monthly – Balance – Consumer confidence indicator – Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data) – Germany (until 1990 former territory of the FRG),1989-08,1989-08-01,-1.8,-1.8,M,BAL,BS-CSMCI,NSA,DE,Monthly,Balance,Consumer confidence indicator,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany (until 1990 former territory of the FRG),,
